"SampleID","ComClustID","Env_cons","Temperature_C_mean","Richness","Temp_bin"
"SRR5817252.SRS2346884","SGRP173440","aquatic",0.976533333333333,144,1
"SRR5817248.SRS2346892","SGRP173440","aquatic",0.976533333333333,126,1
"SRR5817225.SRS2346897","SGRP173440","aquatic",0.976533333333333,101,1
"SRR5817224.SRS2346897","SGRP173440","aquatic",0.976533333333333,66,1
"SRR5817253.SRS2346884","SGRP173440","aquatic",0.976533333333333,82,1
"SRR5817273.SRS2346889","SGRP173440","aquatic",0.976533333333333,180,1
"SRR7721076.SRS3692577","SGRP26761","soil",1,94,1
"SRR6996153.SRS3164210","SGRP26761","soil",1,102,1
"SRR8873546.SRS4604672","SGRP26761","soil",1,158,1
"SRR9032732.SRS4739247","SGRP26761","soil",1,112,1
"SRR5055503.SRS1819336","SGRP26761","soil",1,106,1
"SRR8306045.SRS4134090","SGRP26761","soil",1,98,1
"SRR5055495.SRS1819327","SGRP26761","soil",1,93,1
"SRR5817250.SRS2346895","SGRP173399","aquatic",1.015775,99,1
"SRR5817249.SRS2346889","SGRP173399","aquatic",1.015775,147,1
"SRR5817216.SRS2346888","SGRP173399","aquatic",1.015775,89,1
"SRR5817251.SRS2346894","SGRP173399","aquatic",1.015775,144,1
"SRR5817283.SRS2346885","SGRP173399","aquatic",1.015775,80,1
"SRR5817246.SRS2346889","SGRP173399","aquatic",1.015775,103,1
"SRR5817285.SRS2346884","SGRP173399","aquatic",1.015775,92,1
"SRR5817232.SRS2346888","SGRP173399","aquatic",1.015775,55,1
"SRR5817210.SRS2346887","SGRP173399","aquatic",1.015775,98,1
"SRR5817282.SRS2346887","SGRP173399","aquatic",1.015775,111,1
"SRR5817219.SRS2346897","SGRP173399","aquatic",1.015775,79,1
"SRR5817231.SRS2346884","SGRP173399","aquatic",1.015775,158,1
"SRR5817217.SRS2346888","SGRP173399","aquatic",1.015775,110,1
"SRR5817208.SRS2346885","SGRP173399","aquatic",1.015775,133,1
"SRR5817213.SRS2346898","SGRP173399","aquatic",1.015775,62,1
"SRR5817238.SRS2346897","SGRP173399","aquatic",1.015775,57,1
"SRR5817209.SRS2346887","SGRP173399","aquatic",1.015775,66,1
"SRR5817214.SRS2346898","SGRP173399","aquatic",1.015775,100,1
"SRR5817241.SRS2346895","SGRP173399","aquatic",1.015775,138,1
"SRR5817236.SRS2346894","SGRP173399","aquatic",1.015775,93,1
"SRR5817268.SRS2346893","SGRP173399","aquatic",1.015775,147,1
"SRR5817211.SRS2346892","SGRP173399","aquatic",1.015775,114,1
"SRR5817243.SRS2346893","SGRP173399","aquatic",1.015775,87,1
"SRR5817215.SRS2346898","SGRP173399","aquatic",1.015775,121,1
"SRR5817239.SRS2346892","SGRP173399","aquatic",1.015775,77,1
"SRR5817235.SRS2346897","SGRP173399","aquatic",1.015775,102,1
"ERR1897498.ERS1627936","SGRP251567","aquatic;lake",1.18,166,1
"ERR1101270.ERS945660","SGRP251567","aquatic;lake",1.18,377,1
"ERR1897614.ERS1628052","SGRP251567","aquatic;lake",1.18,163,1
"ERR1897516.ERS1627954","SGRP251567","aquatic;lake",1.18,150,1
"ERR1101368.ERS945758","SGRP251567","aquatic;lake",1.18,535,1
"ERR1897613.ERS1628051","SGRP251567","aquatic;lake",1.18,262,1
"ERR1897630.ERS1628068","SGRP251567","aquatic;lake",1.18,191,1
"ERR867874.ERS667520","SGRP5339","aquatic",1.195,194,1
"ERR2529222.ERS2411167","SGRP5339","aquatic",1.195,433,1
"ERR1104687.ERS950967","SGRP5339","aquatic",1.195,194,1
"ERR2529221.ERS2411166","SGRP5339","aquatic",1.195,430,1
"ERR2529220.ERS2411165","SGRP5339","aquatic",1.195,453,1
"ERR1797776.ERS1505720","SGRP5339","aquatic",1.195,324,1
"SRR5817244.SRS2346896","SGRP173420","aquatic",1.20554166666667,80,1
"SRR5817226.SRS2346894","SGRP173420","aquatic",1.20554166666667,99,1
"SRR5817264.SRS2346893","SGRP173420","aquatic",1.20554166666667,62,1
"SRR5817270.SRS2346888","SGRP173420","aquatic",1.20554166666667,91,1
"SRR5817228.SRS2346896","SGRP173420","aquatic",1.20554166666667,69,1
"SRR5817266.SRS2346888","SGRP173420","aquatic",1.20554166666667,125,1
"SRR5817207.SRS2346895","SGRP173420","aquatic",1.20554166666667,136,1
"SRR5817258.SRS2346894","SGRP173420","aquatic",1.20554166666667,59,1
"SRR5817229.SRS2346896","SGRP173420","aquatic",1.20554166666667,115,1
"SRR5817280.SRS2346888","SGRP173420","aquatic",1.20554166666667,46,1
"SRR5817247.SRS2346896","SGRP173420","aquatic",1.20554166666667,123,1
"SRR5817263.SRS2346893","SGRP173420","aquatic",1.20554166666667,111,1
"ERR1897375.ERS1627813","SGRP251708","aquatic;lake",1.23,276,1
"ERR1897635.ERS1628073","SGRP251708","aquatic;lake",1.23,285,1
"ERR1897664.ERS1628102","SGRP251708","aquatic;lake",1.23,402,1
"ERR1897468.ERS1627906","SGRP251708","aquatic;lake",1.23,187,1
"ERR1897640.ERS1628078","SGRP251708","aquatic;lake",1.23,239,1
"ERR1897652.ERS1628090","SGRP251708","aquatic;lake",1.23,239,1
"SRR5817284.SRS2346886","SGRP173405","aquatic",1.25908,125,1
"SRR5817223.SRS2346885","SGRP173405","aquatic",1.25908,85,1
"SRR5817237.SRS2346886","SGRP173405","aquatic",1.25908,78,1
"SRR5817220.SRS2346885","SGRP173405","aquatic",1.25908,146,1
"SRR5817281.SRS2346886","SGRP173405","aquatic",1.25908,124,1
"SRR1258200.SRS595428","SGRP266061","aquatic;lake",1.37571428571429,177,1
"SRR1258188.SRS595416","SGRP266061","aquatic;lake",1.37571428571429,167,1
"SRR1258191.SRS595419","SGRP266061","aquatic;lake",1.37571428571429,179,1
"SRR1258184.SRS595412","SGRP266061","aquatic;lake",1.37571428571429,139,1
"SRR1258183.SRS595411","SGRP266061","aquatic;lake",1.37571428571429,211,1
"SRR1258181.SRS595409","SGRP266061","aquatic;lake",1.37571428571429,139,1
"SRR1258189.SRS595417","SGRP266061","aquatic;lake",1.37571428571429,181,1
"SRR027464.SRS005990","SGRP303660","aquatic",1.39055555555556,298,1
"SRR027476.SRS006002","SGRP303660","aquatic",1.39055555555556,263,1
"SRR027467.SRS005993","SGRP303660","aquatic",1.39055555555556,291,1
"SRR027477.SRS006003","SGRP303660","aquatic",1.39055555555556,351,1
"SRR027468.SRS005994","SGRP303660","aquatic",1.39055555555556,296,1
"SRR027466.SRS005992","SGRP303660","aquatic",1.39055555555556,297,1
"SRR027463.SRS005989","SGRP303660","aquatic",1.39055555555556,294,1
"SRR027475.SRS006001","SGRP303660","aquatic",1.39055555555556,266,1
"SRR027478.SRS006004","SGRP303660","aquatic",1.39055555555556,307,1
"SRR4384494.SRS1734459","SGRP385935","aquatic",1.4,300,1
"SRR4384497.SRS1734462","SGRP385935","aquatic",1.4,276,1
"SRR4384492.SRS1734458","SGRP385935","aquatic",1.4,392,1
"SRR4384498.SRS1734463","SGRP385935","aquatic",1.4,199,1
"SRR4384495.SRS1734460","SGRP385935","aquatic",1.4,312,1
"SRR4384493.SRS1734457","SGRP385935","aquatic",1.4,318,1
