"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","Zone","n_bin"
"SRR965848.SRS476491","SRS476491","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,839,5,"temperate",25
"SRR965822.SRS476778","SRS476778","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,707,5,"temperate",25
"SRR965817.SRS476773","SRS476773","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,864,5,"temperate",25
"SRR965827.SRS476496","SRS476496","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,869,5,"temperate",25
"SRR965412.SRS476493","SRS476493","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,703,5,"temperate",25
"SRR965829.SRS476495","SRS476495","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,699,5,"temperate",25
"SRR3359207.SRS1384911","SRS1384911","SGRP295847","aquatic","AMPLICON",4.6166052568,42.26,6.7273154491,16.5384615384615,885,5,"temperate",25
"SRR3359195.SRS1357092","SRS1357092","SGRP295847","aquatic","AMPLICON",4.6166052568,42.26,6.7273154491,16.5384615384615,862,5,"temperate",25
"SRR965821.SRS476776","SRS476776","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,884,5,"temperate",25
"SRR965845.SRS476492","SRS476492","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,820,5,"temperate",25
"SRR3359218.SRS1384914","SRS1384914","SGRP295847","aquatic","AMPLICON",4.6166052568,42.26,6.7273154491,16.5384615384615,709,5,"temperate",25
"SRR965815.SRS476771","SRS476771","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,790,5,"temperate",25
"SRR3944852.SRS1579777","SRS1579777","SGRP386162","aquatic","AMPLICON",4.65,30.38,7.5,6,386,5,"temperate",25
"SRR3359211.SRS1384913","SRS1384913","SGRP215520","aquatic","AMPLICON",5.10833333333333,42.26,NA,13.5,436,5,"temperate",25
"DRR138676.DRS093501","DRS093501","SGRP33196","aquatic;river","AMPLICON",5.5,35.072,8.53,0.1,540,6,"temperate",23
"DRR138674.DRS093499","DRS093499","SGRP33196","aquatic;river","AMPLICON",5.5,35.072,8.53,0.1,525,6,"temperate",23
"DRR138682.DRS093507","DRS093507","SGRP64832","aquatic;river","AMPLICON",5.5,35.072,8.53,0.1,502,6,"temperate",23
"DRR138683.DRS093508","DRS093508","SGRP64832","aquatic;river","AMPLICON",5.5,35.072,8.53,0.1,558,6,"temperate",23
"SRR7204134.SRS3328557","SRS3328557","SGRP125491","aquatic;lake","AMPLICON",5.645,42.2673,7.38,12.375,537,6,"temperate",23
"SRR7204133.SRS3328558","SRS3328558","SGRP125491","aquatic;lake","AMPLICON",5.645,42.2673,7.38,12.375,502,6,"temperate",23
"SRR3359338.SRS1384967","SRS1384967","SGRP215527","aquatic","AMPLICON",6.07,42.26,NA,12,583,6,"temperate",23
"SRR10522110.SRS5719309","SRS5719309","SGRP7863","aquatic;lake","AMPLICON",6.35555555555556,42.116667,8.16888888888889,10.7552631578947,638,6,"temperate",23
"SRR3359337.SRS1384968","SRS1384968","SGRP215528","aquatic","AMPLICON",6.36666666666667,42.26,NA,5.58333333333333,513,6,"temperate",23
"SRR3359288.SRS1384929","SRS1384929","SGRP215528","aquatic","AMPLICON",6.36666666666667,42.26,NA,5.58333333333333,518,6,"temperate",23
"SRR3359300.SRS1356956","SRS1356956","SGRP215528","aquatic","AMPLICON",6.36666666666667,42.26,NA,5.58333333333333,646,6,"temperate",23
"SRR3359306.SRS1357117","SRS1357117","SGRP215528","aquatic","AMPLICON",6.36666666666667,42.26,NA,5.58333333333333,521,6,"temperate",23
"SRR3359321.SRS1384946","SRS1384946","SGRP215528","aquatic","AMPLICON",6.36666666666667,42.26,NA,5.58333333333333,510,6,"temperate",23
"SRR1583225.SRS707210","SRS707210","SGRP262780","aquatic","AMPLICON",6.39166666666667,39.99026,7.91666666666667,369.583333333333,1029,6,"temperate",23
"SRR1583232.SRS707217","SRS707217","SGRP262780","aquatic","AMPLICON",6.39166666666667,39.99026,7.91666666666667,369.583333333333,607,6,"temperate",23
"SRR1583231.SRS707216","SRS707216","SGRP262780","aquatic","AMPLICON",6.39166666666667,39.99026,7.91666666666667,369.583333333333,682,6,"temperate",23
"SRR1583213.SRS707198","SRS707198","SGRP262780","aquatic","AMPLICON",6.39166666666667,39.74559,7.91666666666667,369.583333333333,1125,6,"temperate",23
"SRR1583214.SRS707199","SRS707199","SGRP262780","aquatic","AMPLICON",6.39166666666667,39.74559,7.91666666666667,369.583333333333,1235,6,"temperate",23
"SRR1583224.SRS707209","SRS707209","SGRP262780","aquatic","AMPLICON",6.39166666666667,39.99026,7.91666666666667,369.583333333333,900,6,"temperate",23
"SRR1583210.SRS707195","SRS707195","SGRP262780","aquatic","AMPLICON",6.39166666666667,39.74559,7.91666666666667,369.583333333333,1155,6,"temperate",23
"SRR1583226.SRS707211","SRS707211","SGRP262780","aquatic","AMPLICON",6.39166666666667,39.99026,7.91666666666667,369.583333333333,971,6,"temperate",23
