"Temp","Fit","FitType"
18.7,2259.41090488417,"Laplace_Q99"
18.8,2249.27716308265,"Laplace_Q99"
18.9,2239.1888723864,"Laplace_Q99"
19,2229.14582894152,"Laplace_Q99"
19.1,2219.14782980838,"Laplace_Q99"
19.2,2209.1946729576,"Laplace_Q99"
19.3,2199.2861572659,"Laplace_Q99"
19.4,2189.42208251207,"Laplace_Q99"
19.5,2179.60224937292,"Laplace_Q99"
19.6,2169.82645941926,"Laplace_Q99"
19.7,2160.09451511186,"Laplace_Q99"
19.8,2150.40621979749,"Laplace_Q99"
19.9,2140.76137770494,"Laplace_Q99"
20,2131.15979394103,"Laplace_Q99"
20.1,2121.60127448673,"Laplace_Q99"
20.2,2112.08562619321,"Laplace_Q99"
20.3,2102.61265677792,"Laplace_Q99"
20.4,2093.18217482073,"Laplace_Q99"
20.5,2083.79398976004,"Laplace_Q99"
20.6,2074.44791188897,"Laplace_Q99"
20.7,2065.14375235148,"Laplace_Q99"
20.8,2055.88132313858,"Laplace_Q99"
20.9,2046.66043708451,"Laplace_Q99"
21,2037.48090786299,"Laplace_Q99"
21.1,2028.34254998343,"Laplace_Q99"
21.2,2019.24517878719,"Laplace_Q99"
21.3,2010.18861044384,"Laplace_Q99"
21.4,2001.17266194746,"Laplace_Q99"
21.5,1992.19715111293,"Laplace_Q99"
21.6,1983.26189657226,"Laplace_Q99"
21.7,1974.36671777092,"Laplace_Q99"
21.8,1965.51143496416,"Laplace_Q99"
21.9,1956.69586921346,"Laplace_Q99"
22,1947.91984238282,"Laplace_Q99"
22.1,1939.18317713521,"Laplace_Q99"
22.2,1930.48569692899,"Laplace_Q99"
22.3,1921.82722601433,"Laplace_Q99"
22.4,1913.20758942965,"Laplace_Q99"
22.5,1904.62661299811,"Laplace_Q99"
22.6,1896.08412332405,"Laplace_Q99"
22.7,1887.57994778953,"Laplace_Q99"
22.8,1879.11391455084,"Laplace_Q99"
22.9,1870.68585253496,"Laplace_Q99"
23,1862.29559143621,"Laplace_Q99"
23.1,1853.94296171272,"Laplace_Q99"
23.2,1845.62779458303,"Laplace_Q99"
23.3,1837.34992202272,"Laplace_Q99"
23.4,1829.10917676094,"Laplace_Q99"
23.5,1820.90539227711,"Laplace_Q99"
23.6,1812.73840279749,"Laplace_Q99"
23.7,1804.60804329186,"Laplace_Q99"
23.8,1796.51414947018,"Laplace_Q99"
23.9,1788.45655777929,"Laplace_Q99"
24,1780.43510539956,"Laplace_Q99"
24.1,1772.44963024164,"Laplace_Q99"
24.2,1764.49997094317,"Laplace_Q99"
24.3,1756.58596686553,"Laplace_Q99"
24.4,1748.70745809056,"Laplace_Q99"
24.5,1740.86428541738,"Laplace_Q99"
24.6,1733.05629035912,"Laplace_Q99"
24.7,1725.28331513977,"Laplace_Q99"
24.8,1717.54520269094,"Laplace_Q99"
24.9,1709.84179664873,"Laplace_Q99"
25,1702.17294135055,"Laplace_Q99"
25.1,1694.53848183197,"Laplace_Q99"
25.2,1686.93826382359,"Laplace_Q99"
25.3,1679.37213374794,"Laplace_Q99"
25.4,1671.83993871636,"Laplace_Q99"
25.5,1664.34152652591,"Laplace_Q99"
25.6,1656.8767456563,"Laplace_Q99"
25.7,1649.44544526684,"Laplace_Q99"
25.8,1642.04747519336,"Laplace_Q99"
25.9,1634.68268594521,"Laplace_Q99"
26,1627.35092870221,"Laplace_Q99"
26.1,1620.05205531168,"Laplace_Q99"
26.2,1612.7859182854,"Laplace_Q99"
26.3,1605.55237079668,"Laplace_Q99"
26.4,1598.35126667732,"Laplace_Q99"
26.5,1591.18246041476,"Laplace_Q99"
26.6,1584.04580714903,"Laplace_Q99"
26.7,1576.94116266992,"Laplace_Q99"
26.8,1569.86838341399,"Laplace_Q99"
26.9,1562.82732646171,"Laplace_Q99"
27,1555.81784953457,"Laplace_Q99"
27.1,1548.83981099218,"Laplace_Q99"
27.2,1541.89306982943,"Laplace_Q99"
27.3,1534.97748567366,"Laplace_Q99"
27.4,1528.09291878176,"Laplace_Q99"
27.5,1521.23923003741,"Laplace_Q99"
27.6,1514.41628094824,"Laplace_Q99"
27.7,1507.62393364303,"Laplace_Q99"
27.8,1500.86205086894,"Laplace_Q99"
27.9,1494.13049598871,"Laplace_Q99"
28,1487.42913297794,"Laplace_Q99"
28.1,1480.75782642229,"Laplace_Q99"
28.2,1474.11644151479,"Laplace_Q99"
28.3,1467.50484405308,"Laplace_Q99"
28.4,1460.92290043673,"Laplace_Q99"
28.5,1454.37047766451,"Laplace_Q99"
28.6,1447.84744333174,"Laplace_Q99"
28.7,1441.35366562756,"Laplace_Q99"
28.8,1434.88901333232,"Laplace_Q99"
28.9,1428.4533558149,"Laplace_Q99"
29,1422.04656303009,"Laplace_Q99"
29.1,1415.66850551592,"Laplace_Q99"
29.2,1409.3190543911,"Laplace_Q99"
29.3,1402.99808135238,"Laplace_Q99"
29.4,1396.70545867197,"Laplace_Q99"
29.5,1390.44105919494,"Laplace_Q99"
29.6,1384.20475633667,"Laplace_Q99"
29.7,1377.99642408032,"Laplace_Q99"
29.8,1371.81593697421,"Laplace_Q99"
29.9,1365.66317012934,"Laplace_Q99"
30,1359.53799921686,"Laplace_Q99"
