"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Richness","Temp_bin","AbsLatitude","LatRegion"
"ERR3002008.ERS2985109","ERS2985109","SGRP42102","aquatic;estuary","AMPLICON",0.448,47.83333333,NA,554,0,47.83333333,"Temperate"
"ERR3001992.ERS2985093","ERS2985093","SGRP42102","aquatic;estuary","AMPLICON",0.448,47.18591667,NA,594,0,47.18591667,"Temperate"
"ERR3002001.ERS2985102","ERS2985102","SGRP42102","aquatic;estuary","AMPLICON",0.448,50.22416667,NA,1041,0,50.22416667,"Temperate"
"SRR027398.SRS005880","SRS005880","SGRP303664","aquatic;marine","AMPLICON",0.452,71.9647,NA,223,0,71.9647,"Polar_Subpolar"
"SRR027408.SRS005890","SRS005890","SGRP303664","aquatic;marine","AMPLICON",0.452,79.9433,NA,213,0,79.9433,"Polar_Subpolar"
"SRR027407.SRS005889","SRS005889","SGRP303664","aquatic;marine","AMPLICON",0.452,79.9433,NA,219,0,79.9433,"Polar_Subpolar"
"SRR027406.SRS005888","SRS005888","SGRP303664","aquatic;marine","AMPLICON",0.452,77.75,NA,217,0,77.75,"Polar_Subpolar"
"SRR027299.SRS005749","SRS005749","SGRP303664","aquatic;marine","AMPLICON",0.452,-73.96,NA,191,0,73.96,"Polar_Subpolar"
"ERR2220488.ERS2034391","ERS2034391","SGRP63463","aquatic;marine","AMPLICON",0.5784,-68.141,NA,113,1,68.141,"Polar_Subpolar"
"ERR2220475.ERS2034378","ERS2034378","SGRP63463","aquatic;marine","AMPLICON",0.5784,-68.243,NA,122,1,68.243,"Polar_Subpolar"
"ERR2220480.ERS2034383","ERS2034383","SGRP63463","aquatic;marine","AMPLICON",0.5784,-68.141,NA,132,1,68.141,"Polar_Subpolar"
"ERR2220479.ERS2034382","ERS2034382","SGRP63463","aquatic;marine","AMPLICON",0.5784,-68.141,NA,123,1,68.141,"Polar_Subpolar"
"ERR2220473.ERS2034376","ERS2034376","SGRP63463","aquatic;marine","AMPLICON",0.5784,-68.243,NA,113,1,68.243,"Polar_Subpolar"
"ERR2220471.ERS2034374","ERS2034374","SGRP63463","aquatic;marine","AMPLICON",0.5784,-68.265,NA,117,1,68.265,"Polar_Subpolar"
"ERR2220489.ERS2034392","ERS2034392","SGRP63463","aquatic;marine","AMPLICON",0.5784,-68.141,NA,120,1,68.141,"Polar_Subpolar"
"ERR2220483.ERS2034386","ERS2034386","SGRP63463","aquatic;marine","AMPLICON",0.5784,-68.265,NA,112,1,68.265,"Polar_Subpolar"
"ERR2220486.ERS2034389","ERS2034389","SGRP63463","aquatic;marine","AMPLICON",0.5784,-68.243,NA,119,1,68.243,"Polar_Subpolar"
"ERR2220476.ERS2034379","ERS2034379","SGRP63463","aquatic;marine","AMPLICON",0.5784,-68.243,NA,140,1,68.243,"Polar_Subpolar"
"ERR2220470.ERS2034373","ERS2034373","SGRP63463","aquatic;marine","AMPLICON",0.5784,-68.265,NA,106,1,68.265,"Polar_Subpolar"
"SRR019188.SRS004200","SRS004200","SGRP63463","aquatic;marine","AMPLICON",0.5784,-66.45,NA,50,1,66.45,"Polar_Subpolar"
"ERR2220474.ERS2034377","ERS2034377","SGRP63463","aquatic;marine","AMPLICON",0.5784,-68.243,NA,119,1,68.243,"Polar_Subpolar"
"SRR019189.SRS004201","SRS004201","SGRP63463","aquatic;marine","AMPLICON",0.5784,-66.45,NA,35,1,66.45,"Polar_Subpolar"
"SRR4384477.SRS1734442","SRS1734442","SGRP385947","aquatic","AMPLICON",0.6925,-64.77,NA,390,1,64.77,"Polar_Subpolar"
"SRR4384484.SRS1734449","SRS1734449","SGRP385947","aquatic","AMPLICON",0.6925,-64.77,NA,295,1,64.77,"Polar_Subpolar"
"SRR4384482.SRS1734447","SRS1734447","SGRP385947","aquatic","AMPLICON",0.6925,-64.77,NA,197,1,64.77,"Polar_Subpolar"
"SRR4384490.SRS1734456","SRS1734456","SGRP385947","aquatic","AMPLICON",0.6925,-64.77,NA,319,1,64.77,"Polar_Subpolar"
"SRR4384478.SRS1734443","SRS1734443","SGRP385947","aquatic","AMPLICON",0.6925,-64.77,NA,369,1,64.77,"Polar_Subpolar"
"SRR4384476.SRS1734441","SRS1734441","SGRP385947","aquatic","AMPLICON",0.6925,-64.77,NA,408,1,64.77,"Polar_Subpolar"
"SRR4384489.SRS1734454","SRS1734454","SGRP385947","aquatic","AMPLICON",0.6925,-64.77,NA,181,1,64.77,"Polar_Subpolar"
"SRR4384481.SRS1734446","SRS1734446","SGRP385947","aquatic","AMPLICON",0.6925,-64.77,NA,229,1,64.77,"Polar_Subpolar"
"SRR4384480.SRS1734445","SRS1734445","SGRP385947","aquatic","AMPLICON",0.6925,-64.77,NA,319,1,64.77,"Polar_Subpolar"
